Question,Answer
Can you produce cookie boxes?,"Hello, do you have a sample of your work?"
Can you produce cookie boxes?,"please specify size Width*side*height cm., too, to request a price"
Can you produce cookie boxes?,Is there a work file ready to go into production?
Can you produce cookie boxes?,"Please inform your name-surname, address and contact number."
Can you produce cookie boxes?,How much do you want to produce?
"Interested in making black-white, glossy packaging?","Hello, what kind of box is the product?"
"Interested in making black-white, glossy packaging?",Our shop doesn't have a successful size. There are only production according to customer's size.
"Interested in making black-white, glossy packaging?","please specify size Width*side*height cm., too, to request a price"
"Interested in making black-white, glossy packaging?","Please inform your name-surname, address and contact number."
"Interested in making black-white, glossy packaging?",How many are you interested in producing?
"Hello, do you accept the production of cork paper boxes?","Hello, do you have a work file ready to go into production?"
"Hello, do you accept the production of cork paper boxes?",The minimum box is 100 pieces.
"Hello, do you accept the production of cork paper boxes?","please specify size Width*side*height cm., too, to request a price"
"Hello, do you accept the production of cork paper boxes?","Please inform your name-surname, address and contact number."
"Hello, do you accept the production of cork paper boxes?","plug-in lid box unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht
2,000 each 4.60 baht
3,000 each, 4.40 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, I'm starting a skincare brand. How much does the box start? Did you get the design too?","Hello, what kind of box is it?"
"Hello, I'm starting a skincare brand. How much does the box start? Did you get the design too?",Minimum box of 100 bags. There is a design.
"Hello, I'm starting a skincare brand. How much does the box start? Did you get the design too?",Do you have a work sample?
"Hello, I'm starting a skincare brand. How much does the box start? Did you get the design too?","Please inform your name-surname, address and contact number."
"Hello, I'm starting a skincare brand. How much does the box start? Did you get the design too?","Design fee 1500 baht / per design, at this price, the customer does not receive the design file."
"Hello, car air freshener products.","Hello, customer. Do you have the format as Ai file?"
"Hello, car air freshener products.",What kind of box are you interested in? Do you have a work sample?
"Hello, car air freshener products.","please specify size Width*side*height cm., too, to request a price"
"Hello, car air freshener products.","Please inform your name-surname, address and contact number."
"Hello, car air freshener products.",It's 350 gram art card paper. Can I have the price for a moment?
"Interested in producing a box, but already have a pattern?","Hello, please send me the form."
"Interested in producing a box, but already have a pattern?","Please inform your name-surname, address and contact number."
"Interested in producing a box, but already have a pattern?",The minimum is 100 bags. How much do customers want to produce?
"Interested in producing a box, but already have a pattern?","please specify size Width*side*height cm., too, to request a price"
"Interested in producing a box, but already have a pattern?","The lid box is plugged into the bottom, 6*1.5*8 cm.
350 gram art card paper, 4 color printing
1-sided glossy laminate coating / embossed stamping 3 points, die-cut, glued on the side 1 point / ready to use

5,000 cards, 4.58 baht each
10,800 tickets, 2.55 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, we want to produce bakery boxes.","Hello, what kind of box do you want to produce?"
"Hello, we want to produce bakery boxes.",Is there a work sample or an Ai file?
"Hello, we want to produce bakery boxes.","please specify size Width*side*height cm., too, to request a price"
"Hello, we want to produce bakery boxes.","Please inform your name-surname, address and contact number."
"Hello, we want to produce bakery boxes.","Bakery Box
350 gram art card paper, 1 page, 4 color printing
Laminated on 1 side //// Spot UV, O shape, die cut / ready to use
5,000 tickets 11.85 each
10,000, 9.70 each

The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, would you mind asking me for the price of the soap box? Can you make a hexagonal soap box?","Hello, please specify the size. Width*side*height cm. Please."
"Hello, would you mind asking me for the price of the soap box? Can you make a hexagonal soap box?","Please inform your name-surname, address and contact number."
"Hello, would you mind asking me for the price of the soap box? Can you make a hexagonal soap box?",How much do you want to produce?
"Hello, would you mind asking me for the price of the soap box? Can you make a hexagonal soap box?","hexagonal soap box
350 gram art card paper, 4 color printing
Laminated with gloss / matt, die-cut, hand glued, 1 point of 2-sided adhesive tape / ready to use


1,000 tickets, 12 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, would you mind asking me for the price of the soap box? Can you make a hexagonal soap box?",Can you start working today? I will make an offer for you.
What is the minimum die-cut box?,"Hello, the minimum box is 100 pieces."
What is the minimum die-cut box?,"Customers, please specify the size, width * side * height in cm."
What is the minimum die-cut box?,"Please inform your name - nickname, address, contact number."
What is the minimum die-cut box?,How much does the customer want to produce?
What is the minimum die-cut box?,"The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht"
How much is a lipstick box?,"Hello, what kind of box is it?"
How much is a lipstick box?,"please specify size Width*side*height cm., too, to request a price"
How much is a lipstick box?,"Please inform your name-surname, address and contact number."
How much is a lipstick box?,How much do you want to produce?
How much is a lipstick box?,"The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht
2,000 each 4.60 baht
3,000 each, 4.40 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Ask for the price of the product box, size 8x2.5x2.5 cm.","Hello, what kind of box is the customer interested in?"
"Ask for the price of the product box, size 8x2.5x2.5 cm.","It's a work of a box, lid, butt plug. Size unfolded no more than A4."
"Ask for the price of the product box, size 8x2.5x2.5 cm.",How much do you want to produce?
"Ask for the price of the product box, size 8x2.5x2.5 cm.","please specify size Width*side*height cm., too, to request a price"
"Ask for the price of the product box, size 8x2.5x2.5 cm.","The box lid is inserted into the bottom, size 2.5 * 2.5 * 8 cm., unfolded no more than A4
250 gram art card paper, 4 color printing
Matt lamination + K gold stamping logo
Give me a price for a moment."
"Hi, are you interested in this box?","Hello, please send me your name-surname, address, contact number."
"Hi, are you interested in this box?","please specify size Width*side*height cm., too, to request a price"
"Hi, are you interested in this box?",How much do you want to produce? What kind of box is it?
"Hi, are you interested in this box?",Proceed to ask for a price for a moment.
"Hi, are you interested in this box?","Total over 15,000 free delivery in Bangkok. Perimeter."
What do you sell?,"We are a box printing factory. Printing cream boxes, soap boxes (Packaging), paper bags (shopping bag), premium boxes (Premium box), anti-counterfeiting hologram stickers (holograms), starting at 1,000 stars, foil zip bags (Foil), paper straps Paper sleeve for paper cups, glass handles, wedding cards, flyers, brochures, cloth bags, cabinets, light signs, perforated signs, Japanese flag signs, full calendars, box design and printing services, offset systems and printing Digital on-demand, making boxes starting at 100 cards, high quality, quick production, can be accelerated by a professional team 100% in house printing house"
